ID,Link,Movie_Name,Tags
26,https://www.imdb.com/title/tt0416449/?ref_=sr_t_305,300,"action drama gerard butler lena headey david wenham domin west vincent regan michael fassbend tom wisdom andrew pleavin andrew tiernan rodrigo santoro giovani cimmino stephen mchatti greg kramer alex ivanovici kelli craig eli snyder tyler neitzel tim connolli warner bros. legendari entertain virtual studio in the ancient battl of thermopylae, king leonida and 300 spartan fight against xerx and hi massiv persian army. zack snyder zack snyder kurt johnstad michael b. gordon frank miller lynn varley"
27,https://www.imdb.com/title/tt1253863/?ref_=sr_t_400,300: Rise of an Empire,"action drama sullivan stapleton eva green lena headey han matheson callan mulvey david wenham rodrigo santoro jack o'connel andrew tiernan igal naor andrew pleavin peter mensah ben turner ashraf barhom christoph sciueref steven cree caitlin carmichael jade chynoweth warner bros. legendari entertain cruel & unusu film greek gener themistocl of athen lead the naval charg against invad persian forc led by mortal-turned-god xerx and artemisia, veng command of the persian navy. noam murro zack snyder kurt johnstad frank miller"
28,https://www.imdb.com/title/tt0381849/?ref_=sr_t_108,3:10 to Yuma,action adventur drama mysteri & thriller russel crow christian bale ben foster logan lerman dalla robert peter fonda vinessa shaw alan tudyk luce rain gretchen mol lenni loftin rio alexand johnni whitworth shawn howel pat ricotti ramon frank deryl j. lujan jame 'scotty' augar lionsgat tree line film rel media a small-tim rancher agre to hold a captur outlaw who' await a train to go to court in yuma. a battl of will ensu as the outlaw tri to psych out the rancher. jame mangold halst well michael brandt derek haa elmor leonard
29,https://www.imdb.com/title/tt0343660/?ref_=sr_t_393,50 First Dates,comedi drama romanc adam sandler drew barrymor rob schneider sean astin lusia stru dan aykroyd ami hill allen covert blake clark maya rudolph pomaika'i brown joe nakashima peter dant dom magwili jonathan loughran j.d. donaruma wayn federman kent avenido columbia pictur happi madison product anonym content henri roth is a man afraid of commit until he meet the beauti lucy. they hit it off and henri think he' final found the girl of hi dream until discov she ha short-term memori loss and forget him the next day. peter segal georg wing
30,https://www.imdb.com/title/tt1022603/?ref_=sr_t_150,500 Days of Summer,"comedi drama romanc zooey deschanel joseph gordon-levitt geoffrey arend chloë grace moretz matthew gray gubler clark gregg patricia belcher rachel boston minka kelli charl walker ian reed kesler darryl alan reed valent rodriguez yvett nicol brown nicol viciu natali boren mail flanagan darryl sivad searchlight pictur watermark dune entertain iii after be dump by the girl he believ to be hi soulmate, hopeless romant tom hansen reflect on their relationship to tri and figur out where thing went wrong and how he can win her back. marc webb scott neustadt michael h. weber"
31,https://www.imdb.com/title/tt12261776/?ref_=sr_t_158,65,action adventur drama mysteri & thriller sci-fi adam driver ariana greenblatt chloe coleman nika king brian dare beck wood bron creativ columbia pictur an astronaut crash land on a mysteri planet onli to discov he' not alone. scott beck bryan wood scott beck bryan wood
32,https://www.imdb.com/title/tt0298203/?ref_=sr_t_269,8 Mile,"drama music eminem brittani murphi kim basing mekhi phifer evan jone omar benson miller de'angelo wilson eugen byrd taryn man larri hudson proof mike bell dj head michael shannon chloe greenfield mari hannigan anthoni macki g l strike sander imagin entertain interscop film mikona product gmbh & co. kg follow a young rapper in the detroit area, struggl with everi aspect of hi life; he want to make it big but hi friend and foe make thi odyssey of rap harder than it may seem. curti hanson scott silver"
33,https://www.imdb.com/title/tt0472033/?ref_=sr_t_401,9,action adventur anim drama fantasi sci-fi elijah wood jennif connelli crispin glover christoph plummer martin landau john c. reilli fred tatascior alan oppenheim tom kane helen wilson focu featur rel media arc product a rag doll that awaken in a postapocalypt futur hold the key to humanity' salvation. shane acker pamela pettler shane acker ben gluck
34,https://www.imdb.com/title/tt0411705/?ref_=sr_t_383,9 Songs,"drama music romanc kieran o'brien margo stilley robert levon been black rebel motorcycl club don blum marci bolen huw bunford cian ciaran the dandi warhol elbow franz ferdinand guy garvey bobbi gillespi bob hardi peter hay dafydd ieuan nick jago richard jupp revolut film in london, intens sexual encount take place between an american colleg student, name lisa, and an english scientist, name matt, between attend rock concerts. michael winterbottom michael winterbottom"
35,https://www.imdb.com/title/tt0091635/?ref_=sr_t_176,9½ Weeks,drama romanc mickey rourk kim basing margaret whitton david marguli christin baranski karen young william de acuti dwight weist roderick cook victor truro justin johnston cintia cruz kim chan lee lai sing rudolph willrich helen hanft michael p. moran raynor schein produc sale organ (pso) jonesfilm galact film a new york art galleri curat start a torrid love affair with a suav stranger who keep push her boundaries. adrian lyne elizabeth mcneill patricia louisianna knop zalman king sarah kernochan
36,https://www.imdb.com/title/tt6359956/?ref_=sr_t_310,A Bad Moms Christmas,"comedi kid & famili mila kuni kristen bell kathryn hahn jay hernandez christin baranski susan sarandon cheryl hine justin hartley peter gallagh oona laurenc emjay anthoni lyle brocato wanda syke christina appleg cade mansfield cooksey ariana greenblatt jack dean madison muffley huayi brother media stx entertain suzann todd product as their own mother drop in unexpectedly, our three under-appreci and over-burden mom rebel against the challeng and expect of the super bowl for mothers: christmas. jon luca scott moor jon luca scott moor"
37,https://www.imdb.com/title/tt3224458/?ref_=sr_t_192,A Beautiful Day in the Neighborhood,"drama kid & famili matthew rhi tom hank chri cooper susan kelechi watson maryann plunkett enrico colantoni wendi makkena tammi blanchard noah harpster carmen cusack kelley davi christin lahti maddi corman daniel krell jon l peacock gretchen koerner gavin border mark august tristar pictur tencent pictur big beach lloyd vogel, a cynic journalist, get acquaint with a kind-heart televis presenter, fred rogers, while write an articl on him. with time, the two strike an unlik friendship. mariel heller micah fitzerman-blu noah harpster tom junod fred roger"
