,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
840,424,0.7,2005-02-18,121,5,1161,230884728,7,2,121,315,345,1285,432
842,425,0.75,1997-07-11,150,5,1179,171120329,5,7,333,162,338,1255,1060
843,426,0.68,2011-09-09,106,5,1330,136515867,6,9,210,592,1352,1235,70
845,427,0.8,1967-11-01,127,5,326,1767,0,11,335,901,2149,9,73
846,428,0.62,2021-09-17,107,5,1701,6807158,7,9,80,2222,700,633,611
847,429,0.66,1995-10-27,123,5,139,32051917,7,10,335,1208,612,338,678
848,430,0.78,2009-02-06,100,5,2203,185860104,5,2,251,1885,230,1917,511
851,431,0.74,2005-09-23,77,5,2273,117237680,5,9,242,226,1561,1267,102
855,432,0.55,2009-10-09,113,5,112,171844840,7,10,325,1492,549,1024,976
858,433,0.6,2011-07-29,119,5,542,174822325,6,7,47,1914,1274,1082,680
859,434,0.57,2000-08-04,100,5,1040,113916474,6,8,273,935,166,802,350
860,435,0.69,2006-09-01,88,5,1744,42931041,7,9,87,59,827,47,816
861,436,0.64,1997-03-21,100,5,93,2672248,3,3,365,18,278,2023,334
864,437,0.69,2018-08-15,120,5,2072,239343729,6,8,282,1865,1116,1247,683
865,438,0.74,2011-07-29,118,5,375,145086643,6,7,282,1252,1970,1465,484
867,439,0.76,2015-11-25,133,5,1960,174178883,6,11,110,694,1310,189,1089
868,440,0.67,2023-03-03,116,5,746,276148615,6,3,110,695,657,192,848
871,441,0.58,2022-05-25,107,5,1340,4551565,7,5,359,1475,2035,650,334
872,442,0.63,2016-04-15,113,5,147,38803993,7,4,79,346,2152,722,890
874,443,0.65,2015-10-16,119,5,1478,74679822,7,10,356,690,194,1762,494
875,444,0.73,1995-05-12,116,5,1691,157387195,7,5,107,2195,940,2063,146
878,445,0.79,2001-01-12,120,16,671,213978518,6,1,56,1766,244,674,706
880,446,0.68,1999-03-05,97,5,2182,76347426,7,3,338,1136,1852,1576,1070
883,447,0.73,2021-05-28,134,5,1199,233503234,6,5,180,2123,1988,1147,302
884,448,0.65,1990-04-06,85,5,1364,8266655,6,4,259,216,539,1105,673
886,449,0.71,1997-12-10,90,5,284,565727,7,12,374,850,503,1700,163
887,450,0.58,2024-08-09,102,5,11,6680396,7,8,375,2336,1559,1873,101
891,451,0.75,2001-07-08,111,13,243,194515,4,7,375,582,694,1709,755
901,452,0.56,2003-05-09,92,5,2165,164433867,5,5,324,2063,132,573,57
903,453,0.62,2015-12-25,96,5,1097,242786137,6,12,324,1519,1754,410,1109
904,454,0.6,2017-11-10,100,5,1326,180613824,6,11,324,1520,1354,482,1109
908,455,0.79,2013-11-22,117,5,1378,55198285,7,11,365,613,1943,867,572
911,456,0.68,2007-10-26,98,5,633,68474305,6,10,282,1246,1155,829,983
912,457,0.8,1990-11-21,181,5,334,424208848,6,11,224,343,890,788,747
915,458,0.83,2016-12-21,161,10,1631,303726694,4,12,110,425,1159,1719,927
916,459,0.52,2021-11-05,99,5,474,164231,7,11,80,1147,1893,1375,343
917,460,0.53,2003-02-14,103,5,354,179179718,6,2,80,1225,835,901,821
920,461,0.76,1998-02-27,100,5,362,27201335,7,2,368,1065,31,253,429
923,462,0.62,2012-05-11,113,5,957,245527149,6,5,308,211,1370,1290,103
924,463,0.63,2013-02-22,97,5,1030,27858103,6,2,374,337,1349,2032,1106
927,464,0.74,2017-12-22,125,5,1399,150847274,6,12,365,2182,768,1923,619
928,465,0.64,1990-08-24,96,5,84,48878502,7,8,86,469,1324,560,1095
933,466,0.72,2004-03-19,101,5,423,102280154,7,3,236,1138,136,688,198
934,467,0.76,2014-07-11,130,5,1961,710644566,6,7,47,2181,811,927,834
937,468,0.77,1978-10-06,94,5,318,3491205,5,10,338,986,1536,492,87
939,469,0.76,1993-09-24,103,5,1922,8154446,7,9,302,52,1210,2027,1030
940,470,0.75,1993-02-12,104,5,715,242623,7,2,306,1337,1457,1343,985
942,471,0.68,1989-04-07,96,5,781,7825135,7,4,375,845,1540,26,999
944,472,0.81,1989-06-09,128,5,1639,235860116,5,6,302,1042,1604,811,991
945,473,0.72,1988-09-23,116,5,2123,8038722,7,9,358,111,2034,959,334
949,474,0.8,2016-02-12,108,5,635,782837347,7,2,104,1096,1192,882,109
950,475,0.77,2024-07-26,128,5,1149,1338073382,7,7,32,1099,1312,158,17
951,476,0.76,2018-05-18,119,5,1276,785896632,7,5,32,1093,1190,882,345
955,477,0.67,1992-07-31,104,5,2244,149022650,6,7,308,687,836,1112,1060
958,478,0.64,2008-08-22,105,5,1233,76014335,7,8,79,61,1097,1028,965
