ID,Movie_Name
1067,Lord of War
1068,Lost Highway
1069,Lost in Space
1070,Lost in Translation
1071,Love
1072,Love & Other Drugs
1073,Love Actually
1074,Love Lies Bleeding
1075,Love and Monsters
1076,Love the Coopers
1077,"Love, Simon"
1078,Lovelace
1079,Lucy
1080,"Lust, Caution"
1081,Léon: The Professional
1082,M*A*S*H
1083,M3GAN
1084,MaXXXine
1085,Machete
1086,Mad Max
1087,Mad Max: Fury Road
1088,Madagascar
1089,Madagascar: Escape 2 Africa
1090,Madame Web
1091,Maestro
1092,Magic Mike
1093,Magnolia
1094,Maid in Manhattan
1095,Major League
1096,Malcolm X
1097,Maleficent
1098,Maleficent: Mistress of Evil
1099,Malignant
1100,Mallrats
1101,Mamma Mia!
1102,Mamma Mia! Here We Go Again
1103,Man of Steel
1104,Man on Fire
1105,Manchester by the Sea
1106,Mandy
1107,Manhunter
1108,Margin Call
1109,Marie Antoinette
1110,Marriage Story
1111,Mars Attacks!
1112,Martyrs
1113,Mary Poppins
1114,Mary Poppins Returns
1115,Mary Queen of Scots
1116,Mary and Max
1117,Mask
1118,Master and Commander: The Far Side of the World
1119,Masterminds
1120,Masters of the Universe
1121,Match Point
1122,Matilda
1123,Matilda: The Musical
1124,May December
1125,Maze Runner: The Death Cure
1126,Maze Runner: The Scorch Trials
1127,Me Before You
1128,"Me, Myself & Irene"
1129,Mean Girls
1130,Meatballs
1131,Meet Joe Black
1132,Meet Me in St. Louis
1133,Meet the Fockers
1134,Meet the Parents
1135,Meet the Robinsons
1136,Meg 2: The Trench
1137,Megalopolis
1138,Megamind
1139,Melancholia
1140,Memento
1141,Memoirs of a Geisha
1142,Memories of Murder
1143,Memory
1144,Men in Black
1145,Men in Black II
1146,Men in Black: International
1147,Men in Black³
1148,Metropolis
1149,Michael Clayton
1150,Mid90s
1151,Midnight Cowboy
1152,Midnight Run
1153,Midnight in Paris
1154,Midsommar
1155,Midway
1156,Mighty Morphin Power Rangers
1157,Migration
1158,Mike and Dave Need Wedding Dates
1159,Miller's Crossing
1160,Miller's Girl
1161,Million Dollar Baby
1162,Minari
1163,Minions
1164,Minions: The Rise of Gru
1165,Minority Report
1166,Mirror Mirror
1167,Misery
1168,Miss Congeniality
1169,Miss Peregrine's Home for Peculiar Children
1170,Mission: Impossible
1171,Mission: Impossible - Dead Reckoning Part One
1172,Mission: Impossible - Fallout
1173,Mission: Impossible - Ghost Protocol
1174,Mission: Impossible - Rogue Nation
1175,Mission: Impossible II
1176,Mission: Impossible III
1177,Mississippi Burning
1178,Mixed Nuts
1179,Moana
1180,Moana 2
1181,Molly's Game
